Date,Ibovespa,Dolar,corr_movel
2007-09-25,58858.0,1.8621000051498413,-0.9565095890704336
2007-09-26,59715.0,1.8494999408721924,-0.9578032917127919
2007-09-27,61052.0,1.8365000486373901,-0.9593818094839542
2007-09-28,60465.0,1.8339999914169312,-0.9609097264803333
2007-10-01,62340.0,1.815999984741211,-0.962145731245674
2007-10-02,62017.0,1.819000005722046,-0.9631589488421423
2007-10-03,60099.0,1.819000005722046,-0.9635891714979079
2007-10-04,60407.0,1.8250999450683594,-0.9637080257039419
2007-10-05,62319.0,1.8049999475479126,-0.9641562811895587
2007-10-08,62661.0,1.8125,-0.9647300373234691
2007-10-09,63549.0,1.7975000143051147,-0.9654674262814952
2007-10-10,63197.0,1.7984000444412231,-0.9664284479678346
2007-10-11,62456.0,1.7869999408721924,-0.9675167666785589
2007-10-15,62969.0,1.8050999641418457,-0.9686434005940298
2007-10-16,61718.0,1.8193999528884888,-0.9691090896405642
2007-10-17,63194.0,1.8044999837875366,-0.9695121360438597
2007-10-18,63261.0,1.8005000352859497,-0.9699456722284916
2007-10-19,60894.0,1.7905000448226929,-0.9704449868309821
2007-10-22,61215.0,1.816499948501587,-0.9710320899153976
2007-10-23,62697.0,1.7934999465942383,-0.9717207053693464
2007-10-24,62625.0,1.7990000247955322,-0.972381705321847
2007-10-25,62341.0,1.7879999876022339,-0.973158173110318
2007-10-26,64276.0,1.7720999717712402,-0.973977353173948
2007-10-29,65044.0,1.749500036239624,-0.975132035545513
2007-10-30,64383.0,1.746999979019165,-0.9761002651528647
2007-10-31,65318.0,1.736199975013733,-0.9770501638314941
2007-11-01,64050.0,1.7395000457763672,-0.9777494609970647
2007-11-05,62960.0,1.7519999742507935,-0.9781930110261191
2007-11-06,64503.0,1.7267999649047852,-0.9786660568633271
2007-11-07,63501.0,1.7268999814987183,-0.9791474762102059
2007-11-08,63562.0,1.7338000535964966,-0.9797662156149777
2007-11-09,64321.0,1.7473000288009644,-0.9804545312338256
2007-11-12,61527.0,1.7734999656677246,-0.9809891789555942
2007-11-13,62927.0,1.7664999961853027,-0.9813942839770605
2007-11-14,64631.0,1.7310999631881714,-0.9817286643760187
2007-11-16,64609.0,1.7415000200271606,-0.9820182912073783
2007-11-19,62336.0,1.7561999559402466,-0.9822051718606971
2007-11-21,60582.0,1.781599998474121,-0.9822043489025748
2007-11-22,60653.0,1.7684999704360962,-0.9821974919665026
2007-11-23,60971.0,1.7975000143051147,-0.9823007234485799
2007-11-27,59432.0,1.8353999853134155,-0.9822754220390923
2007-11-28,61715.0,1.7920000553131104,-0.9823176256787592
2007-11-29,62156.0,1.7695000171661377,-0.982395984770912
2007-11-30,63006.0,1.7759000062942505,-0.9824315328823728
2007-12-03,63200.0,1.780500054359436,-0.9824327923693011
2007-12-04,63482.0,1.815999984741211,-0.9820277978027386
2007-12-05,64928.0,1.7879999876022339,-0.9817246345542512
2007-12-06,65791.0,1.784500002861023,-0.9812452512152045
2007-12-07,65639.0,1.7596999406814575,-0.9811324346845783
2007-12-10,65446.0,1.7584999799728394,-0.9810836879801275
2007-12-11,64512.0,1.756500005722046,-0.9812019478289451
2007-12-12,64742.0,1.7556999921798706,-0.9812661086566843
2007-12-13,62861.0,1.7732000350952148,-0.9812695707566285
2007-12-14,62445.0,1.7940000295639038,-0.9813427624185225
2007-12-17,59828.0,1.8134000301361084,-0.9813616480835393
2007-12-19,61722.0,1.7985999584197998,-0.9813934328298161
2007-12-20,61716.0,1.7980999946594238,-0.9813878160413092
2007-12-21,63098.0,1.7892999649047852,-0.9813566200741922
2007-12-27,63774.0,1.7634999752044678,-0.9814146603101043
2007-12-28,63886.0,1.767300009727478,-0.9814638005651698
2008-01-02,62815.0,1.7645000219345093,-0.98151360764382
2008-01-03,62892.0,1.7480000257492065,-0.9815518462113542
2008-01-04,61037.0,1.757200002670288,-0.9813421794463655
2008-01-07,60772.0,1.7640000581741333,-0.9811513031268672
2008-01-08,62081.0,1.7519999742507935,-0.9811878205966794
2008-01-09,62674.0,1.7687000036239624,-0.9813290720724895
2008-01-10,63515.0,1.760200023651123,-0.9814902546309965
2008-01-11,61942.0,1.7455999851226807,-0.9813513011994286
2008-01-14,62188.0,1.7274999618530273,-0.981104248724456
2008-01-15,59907.0,1.7467000484466553,-0.9806249610682067
2008-01-16,58777.0,1.7674000263214111,-0.9800108198554296
2008-01-17,57037.0,1.7725000381469727,-0.978983985412081
2008-01-18,57506.0,1.791700005531311,-0.978389195871547
2008-01-21,53709.0,1.826200008392334,-0.9769733410870429
2008-01-22,56097.0,1.7970999479293823,-0.9757315351801695
2008-01-23,54235.0,1.805799961090088,-0.9738699765761607
2008-01-24,57463.0,1.781499981880188,-0.9728054789251772
2008-01-28,58594.0,1.778499960899353,-0.9720970821448741
2008-01-29,59530.0,1.7700999975204468,-0.971544060933736
2008-01-30,60289.0,1.774899959564209,-0.9712398005689441
2008-01-31,59490.0,1.752500057220459,-0.9703999862358185
2008-02-01,61080.0,1.752500057220459,-0.9699959213947356
2008-02-06,58969.0,1.75,-0.9688760107004973
2008-02-07,58965.0,1.7584999799728394,-0.9679092718457295
2008-02-08,59076.0,1.7594000101089478,-0.9670390816269208
2008-02-11,60643.0,1.7589000463485718,-0.9666334729372725
2008-02-12,61805.0,1.7404999732971191,-0.9664008270507787
2008-02-13,62591.0,1.7438000440597534,-0.9663819349574804
2008-02-14,61819.0,1.7445000410079956,-0.9662281478506987
2008-02-15,61272.0,1.747499942779541,-0.9658428312952673
2008-02-18,62801.0,1.7324999570846558,-0.9656830055851141
2008-02-19,62297.0,1.7293000221252441,-0.9654432719778475
2008-02-20,63747.0,1.7309999465942383,-0.9653913593365926
2008-02-21,63792.0,1.705199956893921,-0.9652041406767534
2008-02-22,64609.0,1.7050000429153442,-0.9651771562970468
2008-02-25,65001.0,1.7005000114440918,-0.9651792582720662
2008-02-26,65183.0,1.684499979019165,-0.9651063623787838
2008-02-27,65495.0,1.6634999513626099,-0.9649015805974474
2008-02-28,65555.0,1.676300048828125,-0.9647809578481429
2008-02-29,63489.0,1.6785000562667847,-0.9640701481687471
2008-03-03,64490.0,1.6740000247955322,-0.9637514637620977
2008-03-04,63656.0,1.676800012588501,-0.9632784869810269
2008-03-05,64629.0,1.6670000553131104,-0.9629381919786804
2008-03-06,62975.0,1.6628999710083008,-0.9618774797156296
2008-03-07,61868.0,1.6875,-0.9608461402640811
2008-03-10,59999.0,1.6984000205993652,-0.9591686673742672
2008-03-11,62368.0,1.701300024986267,-0.9585819809996471
2008-03-12,62177.0,1.6821999549865723,-0.9576063239913708
2008-03-13,62280.0,1.7005000114440918,-0.9568037911088155
2008-03-14,61991.0,1.7073999643325806,-0.9559440212933012
2008-03-17,60012.0,1.7228000164031982,-0.9545290935965
2008-03-18,61933.0,1.695199966430664,-0.9533543205854252
2008-03-19,58827.0,1.6995999813079834,-0.9504622457336188
2008-03-20,58987.0,1.7379000186920166,-0.9487500349055895
2008-03-24,59813.0,1.7379000186920166,-0.9474129347378951
2008-03-25,61234.0,1.7359999418258667,-0.9465293243314159
2008-03-26,61415.0,1.732200026512146,-0.945691180970229
2008-03-27,60762.0,1.7267999649047852,-0.9445877641791505
2008-03-28,60452.0,1.7376999855041504,-0.9435783637874402
2008-03-31,60968.0,1.7395000457763672,-0.9424718818898887
2008-04-02,63364.0,1.7228000164031982,-0.9419860067919265
2008-04-03,64175.0,1.7193000316619873,-0.9415764433613535
2008-04-04,64446.0,1.7044999599456787,-0.9412912558706856
2008-04-07,64176.0,1.6948000192642212,-0.9408609246599448
2008-04-08,64540.0,1.6944999694824219,-0.9404277984568206
2008-04-09,63477.0,1.687600016593933,-0.9398730351737185
